,0,1,2,3,4,5,6,7,8,9,10
70,0.006,0.004,0.006,0,0.775,0.046,0.009,0.022,0.017,0.009,0
71,0.009,0.009,0,0,0.734,0.044,0.004,0.028,0.011,0.009,0
72,0.004,0.006,0,0.004,0.739,0.039,0.006,0.022,0.011,0.013,0
73,0.006,0.006,0,0,0.737,0.046,0.009,0.024,0.013,0.015,0
74,0.009,0.013,0,0.017,0.739,0.041,0.004,0.026,0.009,0.009,0
75,0.006,0.009,0,0,0.734,0.041,0.004,0.019,0.009,0.009,0
76,0.006,0.011,0,0,0.739,0.039,0.004,0.024,0.009,0.006,0
77,0.009,0.006,0,0,0.739,0.044,0.004,0.026,0.011,0,0
78,0,0.004,0,0,0.7,0.052,0.004,0.024,0.011,0.004,0
79,0.011,0,0,0,0.702,0.041,0.009,0.026,0.007,0.015,0.011
80,0,0,0,0,0.698,0.041,0.004,0.026,0.011,0.015,0
81,0.004,0,0,0,0.7,0.044,0.004,0.024,0.007,0.019,0
82,0.004,0.006,0,0.009,0.7,0.048,0.006,0.024,0.013,0.006,0.004
83,0,0,0,0.004,0.702,0.041,0.006,0.024,0.013,0.013,0
84,0.011,0.009,0,0.009,0.666,0.046,0.009,0.026,0.011,0.009,0
85,0,0,0,0.006,0.666,0.041,0.009,0.028,0.007,0.006,0
86,0,0.013,0.004,0,0.662,0.041,0.006,0.026,0.013,0.015,0
87,0.009,0.009,0.004,0.004,0.664,0.041,0.006,0.024,0.011,0.013,0
88,0.006,0,0,0.009,0.664,0.046,0.006,0.026,0.004,0.015,0.013
89,0.009,0.004,0.009,0,0.664,0.05,0.004,0.026,0.007,0.011,0
90,0.004,0,0,0,0.664,0.044,0.006,0.026,0.015,0.013,0
91,0,0.006,0.004,0.015,0.627,0.044,0.006,0.026,0.013,0.013,0
92,0.009,0,0,0,0.63,0.046,0.004,0.022,0.011,0.004,0.004
93,0.009,0.009,0.009,0,0.627,0.044,0.004,0.026,0.015,0.009,0
94,0.006,0.006,0.006,0,0.63,0.041,0.006,0.026,0,0.013,0
95,0.004,0.004,0,0,0.625,0.041,0.004,0.026,0.011,0.013,0
96,0.004,0,0,0,0.625,0.046,0.004,0.024,0.009,0.009,0
97,0.006,0.004,0,0.009,0.632,0.041,0.004,0.026,0.004,0.011,0.013
98,0,0,0,0,0.589,0.046,0.006,0.024,0.009,0.015,0.006
99,0.004,0.004,0.004,0.011,0.589,0.046,0.009,0.024,0.013,0.011,0
100,0.004,0.011,0,0.019,0.591,0.05,0.011,0.024,0.004,0.015,0.009
101,0.006,0.006,0,0,0.591,0.046,0.015,0.024,0.011,0.009,0
102,0.004,0,0,0,0.593,0.041,0.013,0.024,0.007,0.021,0.009
103,0.011,0.011,0.009,0,0.595,0.046,0.009,0.026,0.007,0.011,0.009
104,0.004,0.004,0,0,0.555,0.048,0.004,0.024,0.017,0.009,0
105,0.013,0.004,0,0,0.557,0.052,0.004,0.024,0.015,0.004,0.009
106,0.006,0.004,0,0.011,0.557,0.044,0.009,0.026,0.011,0.017,0
107,0.011,0.009,0,0,0.559,0.046,0.006,0.026,0.013,0.011,0.017
108,0.004,0.009,0.009,0,0.557,0.052,0.009,0.026,0.011,0,0
109,0.006,0,0,0,0.557,0.044,0.006,0.026,0.017,0.004,0.015
110,0,0.004,0,0.009,0.557,0.039,0.006,0.024,0.015,0.011,0
111,0.004,0,0,0.009,0.52,0.05,0.013,0.026,0.013,0.021,0.009
112,0.004,0,0,0,0.522,0.048,0.009,0.022,0.011,0.015,0.013
113,0.004,0.006,0,0,0.52,0.046,0.009,0.024,0.013,0.009,0.015
114,0.004,0,0,0,0.522,0.044,0.004,0.026,0.02,0.024,0
115,0.009,0,0,0.017,0.522,0.044,0.006,0.026,0.017,0.019,0
116,0.004,0.009,0,0,0.518,0.041,0.009,0.026,0.017,0.011,0.004
117,0.009,0.013,0.006,0.009,0.525,0.05,0.013,0.026,0.011,0.013,0
118,0.006,0.004,0,0,0.484,0.041,0.015,0.028,0.02,0.015,0
119,0.004,0.013,0,0,0.486,0.041,0.006,0.024,0.015,0.006,0
120,0.004,0.004,0.013,0,0.482,0.041,0.013,0.024,0.011,0.015,0
121,0.006,0,0,0,0.486,0.044,0.006,0.026,0.013,0.009,0.011
122,0.009,0,0,0,0.482,0.046,0.004,0.024,0.007,0.015,0.015
123,0.013,0,0.009,0,0.488,0.041,0.011,0.024,0.011,0.004,0.009
124,0.004,0.004,0,0.006,0.486,0.041,0.013,0.026,0.015,0.015,0
125,0.004,0,0,0,0.452,0.044,0.006,0.024,0.007,0.019,0
