,0,1,2,3,4,5,6,7,8,9,10
0,0.9791,0.8913,0.86,0.87,0.8813,0.8913,0.8921,0.9978,0.4829,0.6276,0.0558
1,0.9808,0.8625,0.8618,0.8681,0.8849,0.8932,0.8885,0.996,0.5095,0.624,0.1386
2,0.9808,0.8715,0.86,0.8663,0.8939,0.8693,0.9878,0.996,0.5042,0.6348,0.1188
3,0.9808,0.8697,0.8636,0.8591,0.8795,0.8693,0.986,0.996,0.5202,0.5933,0.1134
4,0.9808,0.8661,0.8618,0.8573,0.874,0.8693,0.8903,0.9978,0.4154,0.6384,0.117
5,0.9808,0.8715,0.8673,0.8681,0.8758,0.8693,0.874,0.9978,0.4545,0.6204,0.108
6,0.9791,0.8679,0.8655,0.8591,0.8903,0.8675,0.8885,0.9978,0.4847,0.6276,0.1134
7,0.9791,0.8697,0.8618,0.8663,0.8777,0.8675,0.8849,0.9978,0.5149,0.6492,0.1152
8,0.9111,0.8661,0.8655,0.8663,0.8777,0.8675,0.8903,0.9978,0.49,0.6366,0.108
9,0.9808,0.8715,0.8655,0.8573,0.8722,0.8675,0.8921,0.996,0.4758,0.633,0.117
10,0.9199,0.8931,0.9073,0.87,0.9084,0.8895,0.8993,0.9978,0.4403,0.4869,0.0378
11,0.9111,0.8895,0.8945,0.8935,0.8975,0.8895,0.9391,0.9694,0.4439,0.4995,0.0468
12,0.9129,0.8967,0.8691,0.8718,0.8993,0.8895,0.9372,0.996,0.4154,0.4743,0.0378
13,0.9199,0.9003,0.8873,0.8736,0.9047,0.8877,0.9372,0.9978,0.4208,0.4472,0.0378
14,0.9111,0.8787,0.9018,0.8863,0.9029,0.8913,0.8993,0.9552,0.3995,0.4779,0.0252
15,0.9181,0.8769,0.9055,0.8826,0.9011,0.8858,0.8993,0.8948,0.3977,0.4779,0.027
16,0.9216,0.8769,0.8964,0.8518,0.9011,0.8822,0.8975,0.8327,0.4332,0.4653,0.0252
17,0.9861,0.8895,0.8709,0.8265,0.9011,0.895,0.8957,0.7723,0.4243,0.4815,0.0378
18,0.9146,0.8769,0.8782,0.734,0.9065,0.8895,0.9336,0.7119,0.4083,0.5032,0.027
19,0.9129,0.8841,0.9036,0.696,0.9029,0.884,0.9354,0.6196,0.4172,0.4833,0.0288
20,0.9146,0.8931,0.8873,0.6688,0.8957,0.8913,0.8975,0.5646,0.419,0.5086,0.0306
21,0.9164,0.8877,0.8709,0.609,0.8993,0.8877,0.9354,0.5042,0.3995,0.4707,0.0378
22,0.9199,0.8733,0.8709,0.5727,0.9011,0.8895,0.8957,0.451,0.4172,0.4779,0.045
23,0.9111,0.8769,0.8709,0.5546,0.8993,0.8913,0.8993,0.3586,0.3515,0.4472,0.0108
24,0.9233,0.9057,0.8691,0.4857,0.9029,0.8858,0.9354,0.3054,0.4137,0.4869,0.0378
25,0.9843,0.8859,0.8891,0.4477,0.8921,0.8895,0.8975,0.245,0.4208,0.5104,0.0306
26,0.9164,0.8787,0.9018,0.3788,0.9029,0.8895,0.9336,0.1704,0.4154,0.4617,0.0378
27,0.9164,0.8877,0.9018,0.3516,0.9011,0.8858,0.8975,0.1793,0.3853,0.4995,0.0216
28,0.9146,0.8841,0.8691,0.29,0.9065,0.8822,0.8957,0.1811,0.4225,0.4977,0.0378
29,0.9861,0.8859,0.8691,0.2592,0.9047,0.8895,0.9354,0.1775,0.4172,0.4743,0.0378
30,0.9129,0.8895,0.8709,0.1939,0.9065,0.8877,0.9354,0.1775,0.3959,0.4761,0.0396
31,0.9843,0.8967,0.8982,0.1613,0.9029,0.884,0.8975,0.174,0.4172,0.4617,0.027
32,0.9111,0.8877,0.8873,0.0979,0.8578,0.884,0.8957,0.1811,0.3924,0.4941,0.0252
33,0.9251,0.8967,0.8927,0.0834,0.8072,0.8877,0.9336,0.1704,0.4243,0.4581,0.0288
34,0.9286,0.8751,0.9,0.0816,0.8181,0.8913,0.8975,0.1775,0.3959,0.4671,0.0414
35,0.9826,0.8769,0.8691,0.0743,0.7639,0.8858,0.8957,0.1793,0.4172,0.4941,0.0288
36,0.9181,0.8895,0.9018,0.0834,0.726,0.8858,0.8975,0.1758,0.4101,0.4851,0.0234
37,0.9146,0.8895,0.8964,0.8953,0.9047,0.8803,0.8939,0.9569,0.3799,0.4869,0.027
38,0.9861,0.8751,0.8927,0.8609,0.9192,0.8858,0.8957,0.8664,0.387,0.4743,0.0378
39,0.9181,0.8769,0.9018,0.8319,0.8758,0.884,0.9372,0.8167,0.3586,0.4977,0.0306
40,0.9861,0.8751,0.8982,0.7467,0.8433,0.8803,0.9372,0.7279,0.3604,0.4815,0.0342
41,0.9094,0.8877,0.8945,0.7213,0.7801,0.884,0.8939,0.6818,0.3835,0.4707,0.036
42,0.9808,0.8769,0.8927,0.6416,0.7801,0.8785,0.8975,0.6214,0.3551,0.4581,0.0414
43,0.9826,0.8877,0.8691,0.6271,0.7422,0.8785,0.8957,0.5451,0.3924,0.4941,0.036
44,0.9094,0.8733,0.8655,0.56,0.7097,0.8785,0.8957,0.4865,0.3746,0.4599,0.0468
45,0.9164,0.8751,0.8909,0.5165,0.6736,0.8785,0.8975,0.4066,0.3302,0.4689,0.0378
46,0.9233,0.8751,0.8945,0.4658,0.6302,0.8803,0.9318,0.3551,0.3356,0.4707,0.036
47,0.9094,0.841,0.8655,0.4314,0.6284,0.8803,0.9354,0.2716,0.3569,0.4959,0.0324
48,0.9077,0.8625,0.9073,0.3697,0.5977,0.8785,0.8975,0.2166,0.348,0.5104,0.0414
49,0.9843,0.796,0.8945,0.3353,0.5688,0.8748,0.9336,0.1704,0.332,0.4995,0.0342
50,0.9094,0.7978,0.8673,0.2755,0.5327,0.8803,0.8921,0.174,0.3782,0.4617,0.0468
51,0.9181,0.7601,0.8691,0.2447,0.5093,0.8803,0.8921,0.1704,0.2841,0.4923,0.0414
52,0.9094,0.7583,0.8655,0.1831,0.4677,0.8748,0.8975,0.1633,0.3711,0.4617,0.0378
53,0.9094,0.7242,0.88,0.1541,0.437,0.8803,0.8975,0.174,0.3391,0.4833,0.045
54,0.9181,0.7224,0.8873,0.0997,0.4334,0.8785,0.8957,0.1704,0.3498,0.4887,0.027
55,0.9181,0.6864,0.8727,0.0834,0.3973,0.8767,0.8975,0.1687,0.3746,0.4959,0.0414
56,0.9129,0.6487,0.8691,0.0816,0.3648,0.8785,0.8975,0.1704,0.3444,0.4977,0.0342
57,0.9094,0.6505,0.8673,0.8663,0.7693,0.8803,0.9011,0.9978,0.3924,0.5464,0.0396
58,0.9146,0.6164,0.8691,0.8319,0.7747,0.884,0.9372,0.9445,0.4137,0.5681,0.0324
59,0.9181,0.6164,0.8709,0.7558,0.7693,0.8785,0.8993,0.8593,0.4048,0.5591,0.0396
60,0.9233,0.5804,0.8764,0.7304,0.7693,0.8455,0.8957,0.7954,0.3906,0.5302,0.0432
61,0.9861,0.5786,0.8945,0.6525,0.7729,0.8492,0.8993,0.7421,0.3924,0.5428,0.0234
62,0.9111,0.5427,0.8891,0.638,0.7675,0.8161,0.8939,0.6835,0.4083,0.4959,0.036
63,0.9077,0.8661,0.8691,0.8971,0.9318,0.8968,0.9914,0.9978,0.3924,0.5266,0.018
64,0.9808,0.8679,0.8855,0.8283,0.8975,0.8858,0.9914,0.996,0.3746,0.5609,0.027
65,0.9181,0.8266,0.8764,0.7757,0.9047,0.8748,0.9932,0.996,0.3888,0.5248,0.0198
66,0.9164,0.8518,0.8691,0.7503,0.9029,0.873,0.9896,0.9978,0.3728,0.5645,0.0144
67,0.9077,0.7835,0.8873,0.676,0.8542,0.8693,0.9932,0.8966,0.3551,0.5771,0.0234
68,0.9094,0.7853,0.8673,0.6525,0.8018,0.862,0.9932,0.8327,0.3906,0.5464,0.0108
69,0.9808,0.7493,0.8673,0.5945,0.7657,0.8638,0.8975,0.7386,0.3764,0.5591,0.0126
70,0.9181,0.7493,0.8945,0.5329,0.7639,0.8583,0.8975,0.6818,0.3569,0.5464,0.0198
71,0.9077,0.7116,0.8945,0.4948,0.7151,0.8602,0.9932,0.6196,0.3817,0.5518,0.0252
72,0.9338,0.708,0.8655,0.4604,0.6772,0.8547,0.8957,0.5628,0.3835,0.541,0.0252
73,0.9094,0.6703,0.8673,0.3951,0.6393,0.8583,0.9914,0.474,0.3906,0.5374,0.027
74,0.9164,0.6739,0.8673,0.3679,0.6393,0.8547,0.9914,0.4172,0.3604,0.5356,0.0324
75,0.9094,0.6343,0.8891,0.3045,0.6122,0.8583,0.9932,0.3586,0.3941,0.5392,0.0252
76,0.9094,0.6343,0.8909,0.2755,0.5743,0.8547,0.9896,0.3054,0.3711,0.5681,0.0252
77,0.9251,0.5984,0.8673,0.2121,0.5454,0.851,0.8993,0.2184,0.3906,0.5356,0.009
78,0.9233,0.6002,0.8709,0.1414,0.5129,0.8528,0.9932,0.1598,0.3817,0.5338,0.0216
79,0.9146,0.5732,0.8709,0.1087,0.4695,0.8492,0.8975,0.1261,0.3498,0.5518,0.009
80,0.9077,0.5642,0.8691,0.0852,0.4695,0.8492,0.9932,0.1154,0.3853,0.532,0.0252
81,0.9077,0.5247,0.8673,0.0834,0.4244,0.8125,0.9932,0.1261,0.3888,0.5518,0.0216
82,0.9164,0.5283,0.8655,0.0689,0.4027,0.8143,0.9932,0.1172,0.3728,0.5717,0
83,0.9094,0.4924,0.8655,0.0852,0.3612,0.785,0.9932,0.1172,0.3356,0.5212,0
84,0.9146,0.4636,0.8691,0.0816,0.3287,0.7831,0.9932,0.1225,0.3462,0.541,0
85,0.9077,0.8895,0.8964,0.8953,0.9029,0.9078,0.8993,0.9978,0.451,0.4977,0.0144
