,0,1,2,3,4,5,6,7,8,9,10
0,0.9268,0.8248,0.8291,0.0997,0.5291,0.8602,0.8542,0.0515,0.9374,0.7178,0.6517
1,0.8484,0.8266,0.8309,0.0816,0.5309,0.8602,0.856,0.0408,0.8877,0.5356,0.6535
2,0.8502,0.8248,0.8273,0.0797,0.4966,0.862,0.856,0.0337,0.8628,0.55,0.6553
3,0.8519,0.823,0.8273,0.0816,0.4641,0.862,0.8524,0.0355,0.8646,0.5699,0.6175
4,0.8537,0.8176,0.8309,0.087,0.4641,0.8583,0.856,0.0355,0.7972,0.5897,0.6175
5,0.8554,0.8194,0.8273,0.0707,0.4298,0.8602,0.8578,0.0373,0.8593,0.5356,0.5851
6,0.8519,0.8194,0.8236,0.0779,0.4298,0.8602,0.8578,0.0391,0.8611,0.5518,0.5851
7,0.9338,0.832,0.8345,0.1196,0.3955,0.8657,0.8614,0.0692,0.719,0.4563,0.5383
8,0.9355,0.8302,0.8364,0.1124,0.3612,0.8638,0.8614,0.0781,0.7315,0.4184,0.5365
9,0.9373,0.8302,0.8345,0.1251,0.3233,0.8693,0.856,0.0852,0.7261,0.4851,0.5131
10,0.9303,0.8338,0.8382,0.1124,0.3269,0.8913,0.8596,0.0852,0.7421,0.4436,0.5113
11,0.9355,0.8338,0.8382,0.1341,0.2889,0.8675,0.8632,0.071,0.7031,0.431,0.4734
12,0.9355,0.8302,0.7964,0.0834,0.2582,0.8675,0.8596,0.0604,0.7226,0.395,0.4716
13,0.9355,0.832,0.7927,0.0906,0.2257,0.8675,0.8578,0.1047,0.7084,0.4653,0.441
14,0.9355,0.832,0.7945,0.0852,0.186,0.8675,0.8596,0.0621,0.7137,0.4545,0.4374
15,0.9355,0.8338,0.7964,0.0834,0.1553,0.8638,0.8199,0.0107,0.7368,0.4022,0.4014
16,0.9286,0.8356,0.7582,0.0942,0.121,0.8693,0.8199,0.0462,0.7155,0.4166,0.3636
17,0.8659,0.8356,0.7618,0.0852,0.121,0.8657,0.8199,0.032,0.696,0.3841,0.3672
18,0.9338,0.7925,0.7582,0.0888,0.0849,0.8657,0.8217,0.0355,0.6942,0.4238,0.3348
19,0.9373,0.7889,0.7273,0.087,0.0722,0.8675,0.8199,0.0355,0.6995,0.4076,0.297
20,0.8711,0.7925,0.7255,0.0852,0.074,0.8657,0.7801,0.0142,0.7261,0.4202,0.3006
21,0.8606,0.7529,0.72,0.0834,0.0704,0.8602,0.7801,0.0337,0.7279,0.5014,0.2718
22,0.8589,0.7547,0.6818,0.0816,0.0704,0.8657,0.7819,0.0337,0.7368,0.4725,0.2358
23,0.8589,0.717,0.6836,0.0852,0.0722,0.8602,0.744,0.0355,0.7084,0.4833,0.2034
24,0.8589,0.7098,0.6473,0.0797,0.0704,0.862,0.7404,0.032,0.7315,0.5014,0.2052
25,0.8502,0.6846,0.6473,0.0834,0.0704,0.8602,0.744,0.0337,0.7474,0.4599,0.1638
26,0.8502,0.6846,0.6491,0.0797,0.0722,0.829,0.7458,0.0337,0.7208,0.4617,0.1314
27,0.8606,0.6864,0.6164,0.0671,0.0722,0.8308,0.7061,0.032,0.7279,0.4545,0.0972
28,0.8537,0.6469,0.6145,0.0816,0.0722,0.8308,0.7079,0.0337,0.7048,0.4725,0.0972
29,0.8589,0.6505,0.6164,0.0797,0.0704,0.8033,0.7061,0.0408,0.7474,0.4689,0.0648
30,0.8519,0.6181,0.58,0.0852,0.0686,0.8033,0.7097,0.0337,0.7226,0.4761,0.0306
