,0,1,2,3,4,5,6,7,8,9,10
0,0.953,0.9254,0.9218,0.0036,0.8668,0.9298,0.9932,0.0337,0.9978,0.9955,0.018
1,0.0575,0.1581,0.2927,0.0054,0.0163,0.1981,0.5634,0.0107,0.4652,0.4707,0.0144
2,0.885,0.8625,0.6291,0.2972,0.4099,0.9042,0.921,0.1687,0.941,0.6763,0.0342
3,0.8606,0.814,0.6382,0.2628,0.3431,0.895,0.9047,0.1154,0.941,0.6835,0.036
4,0.8328,0.823,0.6236,0.2048,0.3088,0.862,0.9192,0.1261,0.9143,0.6727,0.0432
5,0.8084,0.7835,0.6345,0.2139,0.2781,0.8565,0.9228,0.1207,0.9143,0.6691,0.0396
6,0.7474,0.7745,0.6255,0.2247,0.2348,0.8253,0.8722,0.1349,0.8877,0.6799,0.0486
7,0.7822,0.7601,0.64,0.1794,0.2095,0.8216,0.8722,0.1349,0.8877,0.7033,0.0396
8,0.7544,0.7547,0.6327,0.1649,0.177,0.7868,0.8704,0.1278,0.8859,0.6619,0.0378
9,0.73,0.708,0.6182,0.1831,0.1445,0.785,0.8831,0.0781,0.8575,0.6384,0.0288
10,0.7038,0.7242,0.6473,0.1214,0.1084,0.7831,0.8777,0.1136,0.8575,0.6583,0.0378
11,0.6777,0.6739,0.6345,0.1377,0.0777,0.7501,0.8379,0.0337,0.8327,0.6384,0.0288
12,0.6777,0.6739,0.6309,0.1087,0.0433,0.7171,0.8488,0.0355,0.8327,0.6691,0.0396
13,0.6533,0.6361,0.6382,0.0979,0.0253,0.7134,0.847,0.0391,0.8078,0.6709,0.0396
14,0.6272,0.6541,0.6436,0.1178,0.0217,0.6859,0.8108,0.0337,0.8078,0.6637,0.0306
15,0.6028,0.6128,0.6345,0.0217,0.0235,0.6823,0.8108,0.0355,0.8043,0.6348,0.0306
16,0.5714,0.6002,0.6473,0.0072,0.0181,0.6511,0.8126,0.0302,0.783,0.5014,0.0108
17,0.5453,0.5732,0.6218,0.0091,0.0181,0.6474,0.8126,0.0124,0.7847,0.4959,0.0054
18,0.5244,0.5822,0.6327,0.0072,0.0181,0.6181,0.7765,0.0178,0.7581,0.5266,0.0126
19,0.5174,0.5373,0.5927,0.0109,0.0181,0.5869,0.7693,0.0337,0.7581,0.5248,0.0108
20,0.493,0.5283,0.5964,0.0091,0.0181,0.5851,0.7783,0.0107,0.7297,0.5176,0.0036
21,0.4721,0.5049,0.5982,0.0091,0.0181,0.5539,0.7386,0.016,0.7297,0.5032,0.009
22,0.446,0.4708,0.5618,0.0127,0.0181,0.552,0.735,0.0178,0.7066,0.5104,0.0126
23,0.4216,0.469,0.5582,0.0072,0.0181,0.5227,0.7404,0.0195,0.7066,0.4923,0.0054
24,0.3972,0.4313,0.5291,0.0091,0.0181,0.519,0.7404,0.0213,0.68,0.5158,0.0036
25,0.3955,0.4331,0.5291,0.0127,0.0181,0.4897,0.7007,0.0213,0.68,0.5284,0.0054
26,0.3659,0.4043,0.4964,0.0109,0.0181,0.4585,0.7007,0.016,0.6534,0.514,0.0126
27,0.3502,0.3971,0.4927,0.0109,0.0181,0.4567,0.7025,0.0107,0.6551,0.5032,0.0072
28,0.3223,0.3702,0.4982,0.0091,0.0181,0.4292,0.7025,0.016,0.6267,0.4995,0.0126
29,0.2944,0.3684,0.46,0.0091,0.0181,0.3998,0.67,0.0178,0.6285,0.5176,0
30,0.277,0.3252,0.4618,0.0127,0.0181,0.3961,0.6646,0.0195,0.6019,0.5122,0.0126
31,0.2544,0.3306,0.4273,0.0072,0.0181,0.3705,0.6664,0.0195,0.6036,0.5032,0.0036
32,0.2509,0.2947,0.4273,0.0091,0.0181,0.3668,0.6664,0.0107,0.577,0.505,0.0072
