,0,1,2,3,4,5,6,7,8,9,10
73,0,0.259,0.041,0.16,0.83,0.031,0.06,0.031,0,0.865,0.138
74,0,0.229,0.041,0.128,0.832,0.029,0.06,0.033,0,0.828,0.14
75,0.008,0.229,0,0.13,0.832,0.035,0.021,0.031,0,0.828,0.138
76,0,0.197,0.014,0.099,0.794,0.027,0,0.031,0,0.789,0.138
77,0,0.183,0.016,0.069,0.796,0.031,0,0.033,0,0.789,0.138
78,0,0.171,0.014,0.067,0.794,0.029,0,0.031,0,0.754,0.14
79,0,0.165,0.018,0.02,0.794,0.037,0,0.031,0,0.752,0.14
80,0.004,0.129,0.008,0.006,0.796,0.031,0,0.033,0,0.713,0.14
81,0.006,0.127,0.016,0,0.792,0.029,0,0.033,0,0.676,0.14
82,0,0.103,0.004,0,0.796,0.031,0,0.031,0,0.678,0.14
83,0,0.066,0.004,0,0.792,0.033,0,0.029,0,0.639,0.14
84,0.01,0.064,0,0.018,0.759,0.035,0,0.029,0,0.641,0.14
85,0.008,0.024,0.016,0.006,0.759,0.039,0.004,0.031,0,0.607,0.14
86,0.008,0.016,0,0.008,0.757,0.035,0,0.033,0,0.605,0.14
87,0,0.012,0.012,0.018,0.757,0.037,0,0.033,0,0.57,0.14
88,0,0.014,0,0.012,0.761,0.033,0,0.035,0,0.535,0.14
89,0.014,0.018,0.008,0,0.755,0.037,0.004,0.033,0,0.533,0.14
90,0.016,0.012,0,0.008,0.757,0.037,0,0.033,0,0.496,0.14
91,0,0.012,0.008,0,0.759,0.029,0,0.031,0,0.5,0.138
92,0,0.014,0,0.004,0.721,0.031,0,0.033,0,0.463,0.14
93,0.01,0.01,0,0,0.719,0.029,0,0.031,0,0.434,0.14
94,0,0.008,0,0,0.717,0.029,0,0.031,0,0.432,0.14
95,0,0.008,0,0,0.721,0.031,0,0.031,0,0.395,0.138
96,0,0.014,0,0.012,0.719,0.035,0,0.031,0,0.395,0.14
97,0.004,0.018,0,0.006,0.723,0.029,0,0.031,0,0.363,0.14
98,0.004,0.012,0.01,0,0.723,0.033,0,0.023,0,0.326,0.142
99,0.008,0,0.008,0.006,0.685,0.039,0,0.027,0,0.322,0.145
100,0.004,0,0.008,0,0.685,0.035,0,0.031,0,0.289,0.145
101,0.006,0,0.008,0.006,0.687,0.044,0,0.027,0.004,0.289,0.145
102,0.004,0.004,0,0.016,0.687,0.033,0,0.025,0,0.254,0.142
103,0.004,0.014,0.004,0.008,0.689,0.042,0,0.025,0,0.256,0.145
104,0.004,0.014,0.012,0.01,0.687,0.033,0,0.029,0,0.225,0.145
105,0.004,0.006,0.006,0,0.685,0.037,0,0.027,0,0.191,0.145
106,0.006,0.004,0.008,0,0.65,0.037,0,0.027,0,0.197,0.142
107,0.012,0.006,0.008,0.008,0.648,0.033,0,0.029,0,0.156,0.145
108,0.008,0.004,0,0.008,0.65,0.037,0,0.027,0,0.156,0.145
109,0.008,0,0.006,0,0.648,0.033,0,0.023,0.004,0.123,0.145
110,0.004,0.004,0,0.016,0.65,0.042,0,0.027,0,0.088,0.145
111,0.004,0.004,0.004,0.008,0.648,0.037,0,0.031,0,0.094,0.145
112,0.006,0,0,0,0.65,0.027,0,0.029,0,0.053,0.145
113,0.006,0,0.006,0.01,0.614,0.033,0,0.027,0,0.055,0.145
114,0,0.006,0.01,0.01,0.612,0.035,0,0.025,0,0.035,0.145
115,0.004,0.012,0.004,0.012,0.612,0.033,0,0.025,0.004,0.01,0.145
116,0.006,0,0,0.01,0.612,0.042,0,0.027,0,0.008,0.142
117,0.008,0,0,0.008,0.612,0.039,0,0.025,0,0.029,0.145
118,0.006,0.004,0.012,0.01,0.61,0.035,0.006,0.029,0,0.008,0.145
119,0.004,0.004,0,0.006,0.575,0.029,0,0.021,0,0.004,0.142
120,0.002,0.004,0.006,0,0.575,0.037,0.006,0.025,0,0.008,0.145
121,0.006,0.004,0,0.008,0.575,0.037,0.004,0.031,0,0.008,0.142
122,0.004,0.01,0,0.008,0.575,0.046,0,0.029,0,0.008,0.145
123,0.004,0,0.008,0.012,0.575,0.033,0.004,0.027,0,0.004,0.145
124,0.006,0,0.004,0.01,0.575,0.035,0,0.033,0,0.004,0.145
125,0.004,0.004,0.01,0.014,0.539,0.033,0,0.031,0.004,0.012,0.142
126,0.004,0.006,0.008,0,0.537,0.044,0,0.029,0,0.012,0.145
127,0.008,0.004,0,0,0.541,0.031,0,0.027,0,0.012,0.145
128,0.006,0.004,0,0.006,0.539,0.033,0,0.029,0,0.012,0.145
129,0.004,0,0.004,0.006,0.539,0.035,0,0.025,0,0.014,0.145
